year,name,fraction,sex,rank
2009,Jade,0.00123,f,129
2009,Santiago,0.001474,m,130
2009,Amy,0.001227,f,130
2009,Oscar,0.001469,m,131
2009,Hayden,0.001222,f,131
2009,Maxwell,0.001452,m,132
2009,Rebecca,0.001219,f,132
2009,Giovanni,0.001448,m,133
2009,Kendall,0.001193,f,133
2009,Collin,0.001442,m,134
2009,Giselle,0.001187,f,134
2009,Cody,0.001415,m,135
2009,Laila,0.001175,f,135
2009,Ivan,0.00141,m,136
2009,Daniela,0.001167,f,136
2009,Edward,0.001407,m,137
2009,Melissa,0.001154,f,137
2009,Kayden,0.001398,m,138
2009,Valerie,0.001145,f,138
2009,Seth,0.001388,m,139
2009,Gabriela,0.001133,f,139
2009,Jeremy,0.001387,m,140
2009,Violet,0.001117,f,140
2009,Gage,0.001361,m,141
2009,Keira,0.001116,f,141
2009,Alan,0.001342,m,142
2009,Angela,0.001116,f,142
2009,Cayden,0.001296,m,143
2009,Katie,0.001111,f,143
2009,Emmanuel,0.001291,m,144
2009,Reese,0.001104,f,144
2009,Grant,0.001286,m,145
2009,Ellie,0.001104,f,145
2009,Ryder,0.001283,m,146
2009,Ashlyn,0.001083,f,146
2009,Jonah,0.001282,m,147
2009,Piper,0.001082,f,147
2009,Peyton,0.001278,m,148
2009,Kylee,0.001076,f,148
2009,Trevor,0.001257,m,149
2009,Marley,0.001072,f,149
2009,Hudson,0.00125,m,150
2009,Jordan,0.001035,f,150
2009,Kenneth,0.001231,m,151
2009,Daisy,0.001025,f,151
2009,Bryson,0.001231,m,152
2009,Briana,0.001024,f,152
2009,Mark,0.001216,m,153
2009,Juliana,0.001024,f,153
2009,Omar,0.001202,m,154
2009,Lyla,0.001022,f,154
2009,Jorge,0.001186,m,155
2009,Mckenzie,0.001019,f,155
2009,Conner,0.001178,m,156
2009,Annabelle,0.001016,f,156
2009,Nicolas,0.001174,m,157
2009,Jillian,0.001007,f,157
2009,Elias,0.001172,m,158
2009,Aliyah,0.000983,f,158
2009,Tanner,0.001157,m,159
2009,Kate,0.000982,f,159
2009,Paul,0.001145,m,160
2009,Leslie,0.000979,f,160
2009,Miles,0.001133,m,161
2009,Izabella,0.000975,f,161
2009,Cristian,0.001132,m,162
2009,Brooklynn,0.000972,f,162
2009,George,0.001123,m,163
2009,Jacqueline,0.000972,f,163
