datetime,1D,10D,1W,2W,1M,3M,6M,1Y
1998-01-05,0.7881944444444444,,,,,,,
1998-01-06,0.7827476038338658,,,,,,,
1998-01-07,0.8032159264931087,,,,,,,
1998-01-08,0.7979539641943734,0.7949975478175576,,,,,,
1998-01-09,0.8098256735340729,,,,,,,
1998-01-10,0.7931034482758621,,,,,,,
1998-01-11,0.79375,,0.7966021708352997,0.7935615738375064,,,,
1998-01-12,0.7989130434782609,,,,,,,
1998-01-13,0.7151162790697675,,,,,,,
1998-01-14,0.791907514450867,,,,,,,
1998-01-15,0.7641196013289037,,,,,,,
1998-01-16,0.7506493506493507,,,,,,,
1998-01-17,0.8427876823338736,,,,,,,
1998-01-18,0.7927272727272727,0.7235387045813586,0.7911631419939577,,,,,
1998-01-19,0.7121212121212122,,,,,,,
1998-01-20,0.8709677419354839,,,,,,,
