,gender,datetime,calculated_value
72,M,1997-09-20,0.7629132231404959
73,M,1997-09-23,0.7591377694470478
74,M,1997-09-26,0.80473714615829
75,M,1997-09-29,0.8478847884788479
76,M,1997-10-02,0.7981574539363484
77,M,1997-10-05,0.8189415041782729
78,M,1997-10-08,0.8244514106583072
79,M,1997-10-11,0.858343337334934
80,M,1997-10-14,0.8472222222222222
81,M,1997-10-17,0.7520547945205479
82,M,1997-10-20,0.8362573099415205
83,M,1997-10-23,0.8267716535433071
84,M,1997-10-26,0.8248081841432225
85,M,1997-10-29,0.8314606741573034
86,M,1997-11-01,0.8792756539235412
87,M,1997-11-04,0.8174273858921162
88,M,1997-11-07,0.6636363636363637
89,M,1997-11-10,0.8549295774647887
90,M,1997-11-13,0.8342749529190208
91,M,1997-11-16,0.8503095104108047
92,M,1997-11-19,0.8455284552845529
93,M,1997-11-22,0.8458520179372198
94,M,1997-11-25,0.8352842809364549
95,M,1997-11-28,0.8787185354691075
96,M,1997-12-01,0.8294820717131474
97,M,1997-12-04,0.8358895705521472
98,M,1997-12-07,0.8171701112877583
99,M,1997-12-10,0.8377659574468085
100,M,1997-12-13,0.8275862068965517
101,M,1997-12-16,0.8134328358208955
102,M,1997-12-19,0.76171875
103,M,1997-12-22,0.8173076923076923
104,M,1997-12-25,0.7723076923076924
105,M,1997-12-28,0.8548034934497817
106,M,1997-12-31,0.7566265060240964
107,M,1998-01-03,0.8146679881070367
108,M,1998-01-06,0.7970342910101946
109,M,1998-01-09,0.797274275979557
110,M,1998-01-12,0.7831858407079646
111,M,1998-01-15,0.7900552486187845
112,M,1998-01-18,0.7969094922737306
113,M,1998-01-21,0.7854077253218884
114,M,1998-01-24,0.7867056245434624
115,M,1998-01-27,0.7438524590163934
116,M,1998-01-30,0.7796934865900383
117,M,1998-02-02,0.809041309431021
118,M,1998-02-05,0.8231046931407943
119,M,1998-02-08,0.765089722675367
120,M,1998-02-11,0.7080610021786492
121,M,1998-02-14,0.7712418300653595
122,M,1998-02-17,0.8455516014234875
123,M,1998-02-20,0.8044554455445545
124,M,1998-02-23,0.7437092264678472
125,M,1998-02-26,0.7319636884854276
126,M,1998-03-01,0.7868705035971223
127,M,1998-03-04,0.7495590828924162
128,M,1998-03-07,0.6623376623376623
129,M,1998-03-10,0.8191244239631337
130,M,1998-03-13,0.8474114441416893
131,M,1998-03-16,0.8360655737704918
132,M,1998-03-19,0.7435897435897436
133,M,1998-03-22,0.8041237113402062
134,M,1998-03-25,0.7910737386804657
135,M,1998-03-28,0.7551305970149254
136,M,1998-03-31,0.7798348761571179
137,M,1998-04-03,0.776578073089701
138,M,1998-04-06,0.7724770642201835
139,M,1998-04-09,0.7304582210242587
140,M,1998-04-12,0.8294573643410853
141,M,1998-04-15,0.6895238095238095
142,M,1998-04-18,0.8222222222222222
143,M,1998-04-21,0.7439353099730458
144,M,1998-04-21,0.7439353099730458
