gender,datetime,1D,10D,1W,2W,1M,3M,6M,1Y
M,1997-11-30,0.9015990159901599,,0.8547589616810878,0.850910957146523,0.8264677628976663,,,
M,1997-12-01,0.8445475638051044,,,,,,,
M,1997-12-02,0.783625730994152,,,,,,,
M,1997-12-03,0.8315467075038285,,,,,,,
M,1997-12-04,0.7959183673469388,,,,,,,
M,1997-12-05,0.9245283018867925,,,,,,,
M,1997-12-06,0.8270676691729323,,,,,,,
M,1997-12-07,0.8827160493827161,,0.8356694055099082,,,,,
M,1997-12-08,0.9,,,,,,,
M,1997-12-09,0.7817745803357314,0.8170765404807958,,,,,,
M,1997-12-10,0.85,,,,,,,
M,1997-12-12,0.8363095238095238,,,,,,,
M,1997-12-13,0.8327402135231317,,,,,,,
M,1997-12-14,0.8485401459854015,,0.8283492822966507,0.8323977546110666,,,,
M,1997-12-15,0.794344473007712,,,,,,,
M,1997-12-17,0.7889328063241107,,,,,,,
M,1997-12-18,0.9037900874635568,,,,,,,
M,1997-12-19,0.7941176470588235,0.8092830882352942,,,,,,
M,1997-12-20,0.7292576419213974,,,,,,,
M,1997-12-21,0.8140495867768595,,0.796383363471971,,,,,
M,1997-12-22,0.8557377049180328,,,,,,,
M,1997-12-23,0.6379310344827587,,,,,,,
M,1997-12-24,0.8955823293172691,,,,,,,
M,1997-12-25,1.0,,,,,,,
M,1997-12-26,0.9016393442622951,,,,,,,
M,1997-12-27,0.7384615384615385,,,,,,,
M,1997-12-28,0.9295774647887324,,0.8352272727272727,0.809489575844716,,,,
M,1997-12-29,0.815625,0.7905982905982906,,,,,,
M,1997-12-30,0.7966804979253111,,,,,,,
M,1997-12-31,0.8105022831050228,,,,0.8190283855043196,0.8236793327154773,,0.818271070385661
M,1998-01-01,0.5384615384615384,,,,,,,
M,1998-01-02,0.747599451303155,,,,,,,
M,1998-01-03,0.7652173913043478,,,,,,,
M,1998-01-04,0.8461538461538461,,0.7899221934049648,,,,,
M,1998-01-05,0.7327586206896551,,,,,,,
M,1998-01-06,0.7828947368421053,,,,,,,
M,1998-01-07,0.8069254984260231,,,,,,,
M,1998-01-08,0.8088737201365188,0.7924297924297924,,,,,,
M,1998-01-09,0.8156606851549756,,,,,,,
M,1998-01-10,0.7619047619047619,,,,,,,
M,1998-01-11,0.782608695652174,,0.794953596287703,0.7927444281763462,,,,
M,1998-01-12,0.7981308411214953,,,,,,,
M,1998-01-13,0.6304347826086957,,,,,,,
M,1998-01-14,0.8050541516245487,,,,,,,
M,1998-01-15,0.7,,,,,,,
M,1998-01-16,0.735593220338983,,,,,,,
M,1998-01-17,0.851063829787234,,,,,,,
M,1998-01-18,0.7832699619771863,0.7888123226591002,0.7861969111969112,,,,,
M,1998-01-19,0.7121212121212122,,,,,,,
M,1998-01-20,0.8709677419354839,,,,,,,
M,1998-01-21,0.8296703296703297,,,,,,,
M,1998-01-22,0.7711864406779662,,,,,,,
M,1998-01-23,0.6875,,,,,,,
M,1998-01-24,0.760797342192691,,,,,,,
M,1998-01-25,0.7673267326732673,,0.7808455565142364,0.7842773135252243,,,,
M,1998-01-26,0.8002309468822171,,,,,,,
M,1998-01-27,0.7932960893854749,,,,,,,
M,1998-01-28,0.7126436781609196,0.7816874763526296,,,,,,
M,1998-01-29,0.7383627608346709,,,,,,,
M,1998-01-30,0.821917808219178,,,,,,,
M,1998-01-31,0.8214285714285714,,,,0.7851239669421488,,,
M,1998-02-01,0.7566765578635015,,0.772419627749577,,,,,
M,1998-02-02,0.8179419525065963,,,,,,,
M,1998-02-03,0.7788309636650869,,,,,,,
M,1998-02-04,0.8671586715867159,,,,,,,
M,1998-02-05,0.8333333333333334,,,,,,,
M,1998-02-06,0.9565217391304348,,,,,,,
M,1998-02-07,0.809322033898305,0.7549623545516769,,,,,,
M,1998-02-08,0.7044025157232704,,0.8016288539848749,0.7847171197648788,,,,
M,1998-02-09,0.7786259541984732,,,,,,,
M,1998-02-10,0.8360655737704918,,,,,,,
M,1998-02-11,0.6883116883116883,,,,,,,
M,1998-02-12,0.8070175438596491,,,,,,,
M,1998-02-13,0.8235294117647058,,,,,,,
M,1998-02-14,0.6666666666666666,,,,,,,
M,1998-02-15,0.8888888888888888,,0.7470651013874067,,,,,
M,1998-02-16,0.7751937984496124,,,,,,,
M,1998-02-17,0.8566666666666667,0.7999443516972732,,,,,,
M,1998-02-18,0.8333333333333334,,,,,,,
M,1998-02-19,0.8227146814404432,,,,,,,
M,1998-02-20,0.7547169811320755,,,,,,,
M,1998-02-21,0.7857142857142857,,,,,,,
M,1998-02-22,0.828125,,0.8323013415892673,0.8045217391304348,,,,
M,1998-02-23,0.7396870554765291,,,,,,,
M,1998-02-24,0.8275862068965517,,,,,,,
M,1998-02-25,0.6836734693877551,,,,,,,
M,1998-02-26,0.7921348314606742,,,,,,,
M,1998-02-27,0.6374501992031872,0.7277486910994765,,,,,,
M,1998-02-28,0.7372013651877133,,,,0.7751018895887366,,,
M,1998-03-01,0.8042328042328042,,0.7397913561847989,,,,,
M,1998-03-02,0.7725118483412322,,,,,,,
M,1998-03-03,0.7865168539325843,,,,,,,
M,1998-03-04,0.7105263157894737,,,,,,,
M,1998-03-05,0.7597173144876325,,,,,,,
M,1998-03-06,0.75,,,,,,,
M,1998-03-07,0.6869918699186992,,,,,,,
M,1998-03-08,0.49242424242424243,,0.7398286937901499,0.7398047099368179,,,,
M,1998-03-09,0.7310924369747899,0.8129074315514994,,,,,,
M,1998-03-10,0.8318318318318318,,,,,,,
M,1998-03-11,0.7615384615384615,,,,,,,
M,1998-03-12,0.8271604938271605,,,,,,,
M,1998-03-13,0.7156862745098039,,,,,,,
M,1998-03-14,0.9108527131782945,,,,,,,
M,1998-03-15,0.42857142857142855,,0.811948404616429,,,,,
M,1998-03-16,0.8064516129032258,,,,,,,
M,1998-03-17,1.0,,,,,,,
M,1998-03-18,0.8518518518518519,,,,,,,
M,1998-03-19,0.7323943661971831,0.7855499309710078,,,,,,
M,1998-03-20,0.8333333333333334,,,,,,,
M,1998-03-21,0.7777777777777778,,,,,,,
M,1998-03-22,0.7777777777777778,,0.7632241813602015,0.8016042780748663,,,,
M,1998-03-23,0.8505747126436781,,,,,,,
M,1998-03-24,0.75,,,,,,,
M,1998-03-25,0.7433628318584071,,,,,,,
M,1998-03-26,0.675,,,,,,,
M,1998-03-27,0.7982770997846375,,,,,,,
M,1998-03-28,0.78125,,,,,,,
M,1998-03-29,0.7257751937984496,0.7717669223523079,0.7682119205298014,,,,,
M,1998-03-30,0.782563025210084,,,,,,,
M,1998-03-31,0.787624140565317,,,,0.774318206911781,0.7786284470246735,0.8036818708929262,
M,1998-04-01,0.7883683360258481,,,,,,,
M,1998-04-02,0.7484957882069796,,,,,,,
M,1998-04-03,0.752851711026616,,,,,,,
M,1998-04-04,0.7811447811447811,,,,,,,
M,1998-04-05,0.82,,0.7796196977084349,0.7759920195078697,,,,
M,1998-04-06,0.6458333333333334,,,,,,,
M,1998-04-07,0.8466666666666667,,,,,,,
M,1998-04-08,0.7759197324414716,0.7346938775510204,,,,,,
M,1998-04-09,0.7480916030534351,,,,,,,
M,1998-04-10,0.6,,,,,,,
M,1998-04-11,0.7391304347826086,,,,,,,
M,1998-04-12,0.8461538461538461,,0.7755102040816326,,,,,
M,1998-04-13,0.85,,,,,,,
M,1998-04-14,0.7701149425287356,,,,,,,
M,1998-04-15,0.7444444444444445,,,,,,,
M,1998-04-16,0.7364130434782609,,,,,,,
M,1998-04-17,0.652027027027027,,,,,,,
M,1998-04-18,0.8085106382978723,0.7824897400820794,,,,,,
M,1998-04-19,0.8690476190476191,,0.7272727272727273,0.7485029940119761,,,,
M,1998-04-20,0.8048780487804879,,,,,,,
M,1998-04-21,0.7926829268292683,,,,,,,
M,1998-04-22,0.7461139896373057,,,,,,,
M,1998-04-23,0.6979166666666666,,,,,,,
M,1998-04-26,,,0.75,,,,,
M,1998-04-30,,,,,0.7640481651376146,,,
M,1998-05-03,,,,0.75,,,,
M,1998-06-30,,,,,,0.7640481651376146,,
M,1998-09-30,,,,,,,0.7640481651376146,
M,1998-12-31,,,,,,,,0.7756833449154505
