male_time_decay,female_time_decay,check_points
0.7590040017785683,0.7878228782287823,1997-09-23 23:05:10
0.7590040017785683,0.7878228782287823,1997-09-24 00:05:10
0.7591111111111111,0.7878228782287823,1997-09-24 01:05:10
0.7592756183745583,0.7878228782287823,1997-09-24 02:05:10
0.7570298769771528,0.7878228782287823,1997-09-24 03:05:10
0.7570298769771528,0.7878228782287823,1997-09-24 04:05:10
0.7627603103307472,0.7878228782287823,1997-09-24 05:05:10
0.762170790103751,0.7878228782287823,1997-09-24 06:05:10
0.762170790103751,0.7878228782287823,1997-09-24 07:05:10
0.762170790103751,0.7878228782287823,1997-09-24 08:05:10
0.7636786961583236,0.7878228782287823,1997-09-24 09:05:10
0.7636786961583236,0.7878228782287823,1997-09-24 10:05:10
0.7636786961583236,0.7878228782287823,1997-09-24 11:05:10
